ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,wepCost,pad0,refId,sfxVariationId,stamina,mp,category,heroPoint,pad1,
105000000,Right-handed sword_reservoir 1 -- 右手刀_溜め突き1,5000,0,1,0,0,0,5000000,0,0,0,1,0,[0|0]
105000001,Right-handed sword_reservoir 2 -- 右手刀_溜め突き2,5000,1,1,0,0,0,5000001,0,0,0,1,0,[0|0]
105000006,Right hand sword_reservoir 2_reverse foot -- 右手刀_溜め突き2_逆足,5000,6,1,0,0,0,5000006,0,0,0,1,0,[0|0]
105000010,Right hand sword_normal attack 1 -- 右手刀_通常攻撃1,5000,10,1,0,0,0,5000010,0,0,0,1,0,[0|0]
105000011,Right hand sword_normal attack 2 -- 右手刀_通常攻撃2,5000,11,1,0,0,0,5000011,0,0,0,1,0,[0|0]
105000012,Right hand sword_normal attack 3 -- 右手刀_通常攻撃3,5000,12,1,0,0,0,5000012,0,0,0,1,0,[0|0]
105000013,Right hand sword_normal attack 4 -- 右手刀_通常攻撃4,5000,13,1,0,0,0,5000013,0,0,0,1,0,[0|0]
105000014,Right hand sword_normal attack 5 -- 右手刀_通常攻撃5,5000,14,1,0,0,0,5000014,0,0,0,1,0,[0|0]
105000016,Right hand sword_normal attack 2_reverse foot -- 右手刀_通常攻撃2_逆足,5000,16,1,0,0,0,5000016,0,0,0,1,0,[0|0]
105000020,Right hand sword _ Small jasuga received and then accumulated stab _ Left -- 右手刀_小ジャスガ受け後溜め突き_左,5000,20,1,0,0,0,5000020,0,0,0,1,0,[0|0]
105000021,Right hand sword_Small jasuga received and then accumulated thrust_Right -- 右手刀_小ジャスガ受け後溜め突き_右,5000,21,1,0,0,0,5000021,0,0,0,1,0,[0|0]
105000025,Right hand sword _ Middle jasuga receiver / After step stab _ Left -- 右手刀_中ジャスガ受け/ステップ後溜め突き_左,5000,25,1,0,0,0,5000025,0,0,0,1,0,[0|0]
105000026,Right hand sword _ Middle jasuga receiving / After step stab _ Right -- 右手刀_中ジャスガ受け/ステップ後溜め突き_右,5000,26,1,0,0,0,5000026,0,0,0,1,0,[0|0]
105000030,Right hand sword _ Attack after receiving small jasuga _ Left -- 右手刀_小ジャスガ受け後攻撃_左,5000,30,1,0,0,0,5000030,0,0,0,1,0,[0|0]
105000031,Right hand sword _ Attack after receiving small jasuga _ Right -- 右手刀_小ジャスガ受け後攻撃_右,5000,31,1,0,0,0,5000031,0,0,0,1,0,[0|0]
105000035,Right hand sword_Middle Jasuga receiving / Attack after step_Left -- 右手刀_中ジャスガ受け/ステップ後攻撃_左,5000,35,1,0,0,0,5000035,0,0,0,1,0,[0|0]
105000036,Right hand sword_Medium Jasuga receiving / Attack after step_Right -- 右手刀_中ジャスガ受け/ステップ後攻撃_右,5000,36,1,0,0,0,5000036,0,0,0,1,0,[0|0]
105000040,Right-handed sword_guard / Jasuga is flipped and then accumulated -- 右手刀_ガード/ジャスガ弾かれ後溜め突き_右,5000,40,1,0,0,0,5000040,0,0,0,1,0,[0|0]
105000041,Right hand sword _ guard / jasuga is flipped and then accumulated _ left -- 右手刀_ガード/ジャスガ弾かれ後溜め突き_左,5000,41,1,0,0,0,5000041,0,0,0,1,0,[0|0]
105000050,Right hand sword_guard / Jasuga attack after being hit_right -- 右手刀_ガード/ジャスガ弾かれ後攻撃_右,5000,50,1,0,0,0,5000050,0,0,0,1,0,[0|0]
105000051,Right hand sword_guard / Jasuga attack after being hit_left -- 右手刀_ガード/ジャスガ弾かれ後攻撃_左,5000,51,1,0,0,0,5000051,0,0,0,1,0,[0|0]
105000060,Right hand sword_Aerial attack 1 -- 右手刀_空中攻撃1,5000,60,1,0,0,0,5000060,0,0,0,1,0,[0|0]
105000061,Right hand sword_Aerial attack 2 -- 右手刀_空中攻撃2,5000,61,1,0,0,0,5000061,0,0,0,1,0,[0|0]
105000062,Right hand sword_Aerial attack 3 -- 右手刀_空中攻撃3,5000,62,1,0,0,0,5000062,0,0,0,1,0,[0|0]
105000065,Right hand sword_wire attack 1 -- 右手刀_ワイヤー攻撃1,5000,65,1,0,0,0,5000065,0,0,0,1,0,[0|0]
105000066,Right hand sword_wire attack 2 -- 右手刀_ワイヤー攻撃2,5000,66,1,0,0,0,5000066,0,0,0,1,0,[0|0]
105000070,Right hand sword_dash attack -- 右手刀_ダッシュ攻撃,5000,70,1,0,0,0,5000070,0,0,0,1,0,[0|0]
105000075,Right hand sword_ crouching attack -- 右手刀_しゃがみ攻撃,5000,75,1,0,0,0,5000075,0,0,0,1,0,[0|0]
105000076,Right hand sword_Crouching attack_Underfloor -- 右手刀_しゃがみ攻撃_床下,5000,76,1,0,0,0,5000076,0,0,0,1,0,[0|0]
105000080,Right hand sword _ hanging attack -- 右手刀_ぶら下がり攻撃,5000,80,1,0,0,0,5000080,0,0,0,1,0,[0|0]
105000085,Right hand sword_aging attack -- 右手刀_老化攻撃,5000,85,1,0,0,0,5000085,0,0,0,1,0,[0|0]
