ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,wepCost,pad0,refId,sfxVariationId,stamina,mp,category,heroPoint,pad1,
107000100,Shuriken_Reservoir 1/3 throw -- 手裏剣_溜め1/3投目,7000,100,1,1,1,0,700000,0,0,0,2,0,[0|0]
107000110,Shuriken_2nd throw -- 手裏剣_溜め2投目,7000,110,1,1,1,0,700010,0,0,0,2,0,[0|0]
107000150,Shuriken_1 / 3rd throw -- 手裏剣_1/3投目,7000,150,1,1,1,0,700050,0,0,0,2,0,[0|0]
107000160,Shuriken_2 throws -- 手裏剣_2投目,7000,160,1,1,1,0,700060,0,0,0,2,0,[0|0]
107002100,Shuriken LV3-A_ Reservoir 1/3 throw -- 手裏剣LV3-A_溜め1/3投目,7002,100,1,1,1,0,700200,0,0,0,2,0,[0|0]
107002110,Shuriken LV3-A_ 2nd throw -- 手裏剣LV3-A_溜め2投目,7002,110,1,1,1,0,700210,0,0,0,2,0,[0|0]
107002150,Shuriken LV3-A_1 / 3 throw -- 手裏剣LV3-A_1/3投目,7002,150,1,1,1,0,700250,0,0,0,2,0,[0|0]
107002160,Shuriken LV3-A_2 throw -- 手裏剣LV3-A_2投目,7002,160,1,1,1,0,700260,0,0,0,2,0,[0|0]
107003100,Shuriken LV3-B_ Reservoir 1/3 throw -- 手裏剣LV3-B_溜め1/3投目,7003,100,1,1,1,0,700300,0,0,0,2,0,[0|0]
107003110,Shuriken LV3-B_ 2nd throw -- 手裏剣LV3-B_溜め2投目,7003,110,1,1,1,0,700310,0,0,0,2,0,[0|0]
107003120,Shuriken LV3-B_ Reservoir Guided Bullet -- 手裏剣LV3-B_溜め誘導弾丸,7003,120,1,1,0,0,700320,0,0,0,2,0,[0|0]
107003150,Shuriken LV3-B_1 / 3 throw -- 手裏剣LV3-B_1/3投目,7003,150,1,1,1,0,700350,0,0,0,2,0,[0|0]
107003160,Shuriken LV3-B_2 throw -- 手裏剣LV3-B_2投目,7003,160,1,1,1,0,700360,0,0,0,2,0,[0|0]
107003170,Shuriken LV3-B_ Guided Bullet -- 手裏剣LV3-B_誘導弾丸,7003,170,1,1,0,0,700370,0,0,0,2,0,[0|0]
107004100,Shuriken LV3-C_ Reservoir 1/3 throw -- 手裏剣LV3-C_溜め1/3投目,7004,100,1,0,0,0,0,0,0,0,2,0,[0|0]
107004101,Shuriken LV3-C_Reservoir 1/3 Throw_LV0 -- 手裏剣LV3-C_溜め1/3投目_LV0,7004,101,1,0,1,0,0,0,0,0,2,0,[0|0]
107004102,Shuriken LV3-C_Reservoir 1/3 Throw_LV1 -- 手裏剣LV3-C_溜め1/3投目_LV1,7004,102,1,1,1,0,700401,0,0,0,2,0,[0|0]
107004103,Shuriken LV3-C_Reservoir 1/3 Throw_LV2 -- 手裏剣LV3-C_溜め1/3投目_LV2,7004,103,1,1,1,0,700402,0,0,0,2,0,[0|0]
107004104,Shuriken LV3-C_Reservoir 1/3 Throw_LV3 -- 手裏剣LV3-C_溜め1/3投目_LV3,7004,104,1,1,1,0,700403,0,0,0,2,0,[0|0]
107004110,Shuriken LV3-C_ 2nd throw -- 手裏剣LV3-C_溜め2投目,7004,110,1,0,0,0,0,0,0,0,2,0,[0|0]
107004111,Shuriken LV3-C_Reservoir 2nd throw_LV0 -- 手裏剣LV3-C_溜め2投目_LV0,7004,111,1,0,1,0,0,0,0,0,2,0,[0|0]
107004112,Shuriken LV3-C_2nd throw _LV1 -- 手裏剣LV3-C_溜め2投目_LV1,7004,112,1,1,1,0,700411,0,0,0,2,0,[0|0]
107004113,Shuriken LV3-C_2nd throw _LV2 -- 手裏剣LV3-C_溜め2投目_LV2,7004,113,1,1,1,0,700412,0,0,0,2,0,[0|0]
107004114,Shuriken LV3-C_2nd throw _LV3 -- 手裏剣LV3-C_溜め2投目_LV3,7004,114,1,1,1,0,700413,0,0,0,2,0,[0|0]
